,Exporter,Importer,Exporter_region,Import_region,Weight
11382,Oman,"Korea, Republic",Northern Africa and Western Asia,Eastern and South-Eastern Asia (excl. China),0.007209999999999999
11383,Belgium,Vietnam,Europe,Eastern and South-Eastern Asia (excl. China),0.0072
11384,Russian Federation,Belize,Europe,Latin America and the Caribbean,0.0072
11385,Nigeria,"Korea, Republic",Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),0.0072
11386,Guyana,Netherlands,Latin America and the Caribbean,Europe,0.007191
11387,Poland,Liberia,Europe,Sub-Saharan Africa,0.007187
11388,Iceland,Switzerland,Europe,Europe,0.0071530000000000005
11389,Guatemala,Chile,Latin America and the Caribbean,Latin America and the Caribbean,0.007111
11390,Libya,Netherlands,Northern Africa and Western Asia,Europe,0.0070610000000000004
11391,Sudan,Sweden,Northern Africa and Western Asia,Europe,0.007042
11392,Spain,Malawi,Europe,Sub-Saharan Africa,0.007
11393,Cuba,Bosnia Herzegovina,Latin America and the Caribbean,Europe,0.007
11394,Malaysia,Serbia,Eastern and South-Eastern Asia (excl. China),Europe,0.007
11395,Zambia,Austria,Sub-Saharan Africa,Europe,0.007
11396,Czech Republic,Mexico,Europe,Latin America and the Caribbean,0.007
11397,Cuba,Netherlands,Latin America and the Caribbean,Europe,0.007
11398,Saint Vincent and the Grenadines,Austria,Latin America and the Caribbean,Europe,0.007
11399,Madagascar,New Caledonia,Sub-Saharan Africa,Oceania (excl. Australia and New Zealand),0.007
11400,Romania,Iceland,Europe,Europe,0.007
11401,Poland,Sao Tome and Principe,Europe,Sub-Saharan Africa,0.007
11402,Croatia,Mauritius,Europe,Sub-Saharan Africa,0.007
11403,Croatia,Sri Lanka,Europe,Central and Southern Asia,0.007
11404,Cabo Verde,Japan,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),0.007
11405,Denmark,Brunei Darussalam,Europe,Eastern and South-Eastern Asia (excl. China),0.007
11406,Lebanon,Japan,Northern Africa and Western Asia,Eastern and South-Eastern Asia (excl. China),0.007
11407,Malaysia,Luxembourg,Eastern and South-Eastern Asia (excl. China),Europe,0.007
11408,Libya,Tunisia,Northern Africa and Western Asia,Northern Africa and Western Asia,0.007
11409,Russian Federation,Bosnia Herzegovina,Europe,Europe,0.007
11410,Costa Rica,Belgium,Latin America and the Caribbean,Europe,0.007
11411,Paraguay,Dominican Republic,Latin America and the Caribbean,Latin America and the Caribbean,0.007
11412,Azerbaijan,"Korea, Republic",Northern Africa and Western Asia,Eastern and South-Eastern Asia (excl. China),0.007
11413,Turkey,Eswatini,Northern Africa and Western Asia,Sub-Saharan Africa,0.007
11414,Guinea,Lebanon,Sub-Saharan Africa,Northern Africa and Western Asia,0.007
11415,Singapore,Tunisia,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,0.007
11416,"China, Hong Kong SAR",Serbia,China,Europe,0.007
11417,Jordan,Czech Republic,Northern Africa and Western Asia,Europe,0.007
11418,Japan,Greenland,Eastern and South-Eastern Asia (excl. China),Northern America,0.007
11419,Hungary,"Korea, Republic",Europe,Eastern and South-Eastern Asia (excl. China),0.007
11420,Norway,South Sudan,Europe,Sub-Saharan Africa,0.007
11421,Namibia,Hungary,Sub-Saharan Africa,Europe,0.007
11422,Togo,"Korea, Republic",Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),0.007
11423,Nepal,Mexico,Central and Southern Asia,Latin America and the Caribbean,0.007
11424,Slovakia,Pakistan,Europe,Central and Southern Asia,0.007
11425,Trinidad and Tobago,Cyprus,Latin America and the Caribbean,Northern Africa and Western Asia,0.007
11426,Trinidad and Tobago,Vanuatu,Latin America and the Caribbean,Oceania (excl. Australia and New Zealand),0.007
11427,Estonia,Tonga,Europe,Oceania (excl. Australia and New Zealand),0.007
